UI_20150317_000001	{@st41b}Học Thuộc Tính{nl}từ Giáo Sư của mỗi class. {/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}Danh Sách Thuộc Tính {/}	{@st43}특성 목록{/}				
UI_20150317_000003	{@st59}Đóng Danh Sách Thuộc Tính {/}	{@st59}특성리스트를 닫습니다{/}				
UI_20150317_000004	{@st43}Học Thuộc Tính{/}	{@st43}특성 배우기{/}				
UI_20150317_000005	{@st59}Thoát Của Sổ Thuộc Tính {/}	{@st59}특성창을 닫습니다{/}				
UI_20150317_000006	{@st41b}Quỹ{/}	{@st41b}소지금{/}				
UI_20150317_000007	Thành Tích Của Tôi	나의 업적				
UI_20150317_000008	Xếp Hạng Máy Chủ	서버 랭킹				
UI_20150317_000009	{@st59}Một sự kiện bất ngờ đã xuất hiện.{/}	{@st59}돌발이벤트가 있습니다{/}				
UI_20150317_000010	{@st59}Có 1 tin nhắn giúp đỡ mới.{/}	{@st59}도움말이 있습니다{/}				
UI_20150317_000011	{@st41}Bạn có chắc chắn muốn chế tạo loại mũi tên này? {/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}				
UI_20150317_000012	{@st41b}Một Lần{/}	{@st41b}한번만{/}				
UI_20150317_000013	{@st41b}Tất Cả{/}	{@st41b}모두{/}				
UI_20150317_000014	{@st41b}Ngừng{/}	{@st41b}중단{/}				
UI_20150317_000015	{@st43}Nhựt Ký Phiêu Lưu{/}	{@st43}모험일지{/}				
UI_20150317_000016	{@st43}Nhà Đấu Giá{/}	{@st43}경매장{/}				
UI_20150317_000017	{@st59}Thoát Nhà Đấu Giá{/}	{@st59}경매장을 닫습니다{/}				
UI_20150317_000018	{memo X}{@st41b}Items Sold : ×%s, Items Unsold : ×%s{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}				
UI_20150317_000019	{@st43}{s22}Item Auction{/}	{@st43}{s22}아이템 경매{/}				
UI_20150317_000020	{@st59}Thoát Thông Tin Nhiệm Vụ{/}	{@st59}퀘스트 정보를 닫습니다{/}				
UI_20150317_000021	Nghỉ Ngơi	아베일레스트				
UI_20150317_000022	{@st41b}Thời Gian Còn Lại	{@st41b}남은 시간				
UI_20150317_000023	3 giờ 16 phút	3시간 16분				
UI_20150317_000024	{@st41b}Giá Bắt Đầu	{@st41b}시작가				
UI_20150317_000025	{@st41b}Số Lần Trả Giá	{@st41b}입찰수				
UI_20150317_000026	{@st41b}Giá Hiện Tại	{@st41b}현재가				
UI_20150317_000027	{@st41b}Giá Đấu Giá	{@st41b}입찰금				
UI_20150317_000028	{@st41b}Giá Tối Thiểu Bắt Đầu Từ {@st57}%s{@st41b}silver{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}				
UI_20150317_000029	{@st41b}Trả Giá{/}	{@st41b}입찰{/}				
UI_20150317_000030	{@st43b}Mua Ngay!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@st44}Cài Đặt Quyền Lực{/}	{@st44}권한설정{/}				
UI_20150317_000032	{@st45}Tên: %s{/}	{@st45}이름:%s{/}				
UI_20150317_000033	{@st45}Kho Của Party{/}	{@st45}파티 창고{/}				
UI_20150317_000034	{@st49}None	{@st49}없음				
UI_20150317_000035	{@st49}Cửa Hàng	{@st49}넣기				
UI_20150317_000036	{@st49}Lấy Lại	{@st49}가져오기				
UI_20150317_000037	{@st45}Khảo Sát{/}	{@st45}설문{/}				
UI_20150317_000038	{@st49}Tạo	{@st49}작성				
UI_20150317_000039	{@st49}Xóa	{@st49}삭제				
UI_20150317_000040	{@st44}Lưu{/}	{@st44}저장{/}				
UI_20150317_000041	{@st44}Hủy{/}	{@st44}취소{/}				
UI_20150317_000042	{@st43}{s22}Cửa Hàng Tóc{/}	{@st43}{s22}미용실{/}				
UI_20150317_000043	{@st59}Kiểu Tóc Trước{/}	{@st59}이전 머리{/}				
UI_20150317_000044	{@st59}Kiểu Tóc Tiếp Theo{/}	{@st59}다음 머리{/}				
UI_20150317_000045	{@st41b}Đổi {s18} (Cần 100 iCoins) {/}	{@st41b}변경{s18}(NXP 100 필요){/}				
UI_20150317_000046	{@st59}Đổi thành tóc đang chọn.{/}	{@st59}선택한 헤어로 변경합니다.{/}				
UI_20150317_000047	{@st41}Hủy	{@st41}해약				
UI_20150317_000048	{@st43}Chợ Đen{/}	{@st43}블랙 마켓{/}				
UI_20150317_000049	Tên Của Sách	책이름				
UI_20150317_000050	{@St59}Ngừng Đọc{/}	{@st59}독서를 그만둡니다{/}				
UI_20150317_000051	{@st59}Trang Trước{/}	{@st59}이전 페이지{/}				
UI_20150317_000052	{@st59}Trang Tiếp Theo{/}	{@st59}다음페이지{/}				
UI_20150317_000053	{@st47}%s appeared!	{@st47}%s 등장!!				
UI_20150317_000054	{@st43}Điểm{/}	{@st43}스코어{/}				
UI_20150317_000055	Sát Thương Nhận	받은 데미지				
UI_20150317_000056	Technique Bonus	테크닉 보너스				
UI_20150317_000057	Evasion Bonus	회피 보너스				
UI_20150317_000058	Thời Gian Hoàn Thành	클리어 시간				
UI_20150317_000059	Tổng Số Điểm)	총 점수				
UI_20150317_000060	{@st42}Thời Gian Trôi Qua	{@st42}경과 시간				
UI_20150317_000061	10 phút	10분				
UI_20150317_000062	10 giây	10초				
UI_20150317_000063	{memo X}{@st44}Hoàn Thành{@st44}마감하기				
UI_20150317_000064	{@st59}Thoát Máy Bán Hàng tự Động{/}	{@st59}자판기를 닫습니다{/}				
UI_20150317_000065	{@st43}Máy Bán Buff Tự Động{@st43}버프 자판기				
UI_20150317_000066	Tên Máy Bán Hàng	자판기 이름				
UI_20150317_000067	{memo X}{@st43}Đăng Ký	{@st43}등록				
UI_20150317_000068	{memo X}{@st43}Hủy	{@st43}취소				
UI_20150317_000069	Máy Bán Buff Tự Động	버프 자판기				
UI_20150317_000070	{@st59}Thoát Máy Bán Buff Tự Động.	{@st59}버프 자판기를 닫습니다.				
UI_20150317_000071	{@st59}Máy Bán Buff Tự Động{nl} - Bạn có thể trả silver để nhận buff từ người chơi khác.{@st59}버프 자판기{nl} - 실버를 지불해 해당 플레이어에게 버프 기술을 시전받을 수 있습니다.				
UI_20150317_000072	Menu Vận Chuyển	마차메뉴				
UI_20150317_000073	{ol}{s22}Thoát Khỏi{/}	{ol}{s22}내리기{/}				
UI_20150317_000074	Casting	캐스팅				
UI_20150317_000075	{@st43}Cài Đặt Trò Chơi{/}	{@st43}게임설정{/}				
UI_20150317_000076	{@st64}Sử dụng phím mũi tên để chọn một ô!	{@st64}방향키를 입력해 셀을 선택하세요!				
UI_20150317_000077	{@st43}Thông Tin Phát Triển Class{/}	{@st43}전직 정보{/}				
UI_20150317_000078	{@st43}Chọn class	{@st43}클래스 선택				
UI_20150317_000079	Psychokinesist	사이코키네스스트				
UI_20150317_000080	{@st42}%s Vòng Tròn {/}	{@st42}%s 서클{/}				
UI_20150317_000081	Có bao nhiêu vòng tròn?	몇 서클				
UI_20150317_000082	Hiển thị mô tả cơ bản của class.	클래스에 대한 간단한 설명을 이곳에 표시합니다.				
UI_20150317_000083	{memo X}{@st41b}Tấn Công {@sti7}%s{/}	{@st41b}공격력 {@sti7}%s{/}				
UI_20150317_000084	{memo X}{@st41b}Hỗ Trợ {@sti7}%s{/}	{@st41b}보조    {@sti7}%s{/}				
UI_20150317_000085	{memo X}{@st41b}Độ Khó{@sti7}%s{/}	{@st41b}난이도 {@sti7}%s{/}				
UI_20150317_000086	{@st59}Đóng cửa sổ thông tin class.{/}	{@st59}클래스 정보 창을 닫습니다{/}				
UI_20150317_000087	Báo Động Phát Triển	전직 가능 알람				
UI_20150317_000088	{@st43}Phát Triển	{@st43}클래스 전직				
UI_20150317_000089	{@sti7}{s14} Nhât Vật {/}	{@sti7}{s14}캐릭터{/}				
UI_20150317_000090	{@sti8}{s14} Class {/}	{@sti8}{s14}클래스{/}				
UI_20150317_000091	{@st44}Chat{/}	{@st44}채팅{/}				
UI_20150317_000092	To. WWWWWWWW and 1 other	To. WWWWWWWW 외 1				
UI_20150317_000093	{memo X}General: /s chat {nl} Shout: /y chat {nl} Party: /p chat{nl} Whisper: /w character's username chat	일반 : /s 내용{nl}외침 : /y 내용{nl}파티 : /p 내용{nl}귓속말 : /w 캐릭명 내용				
UI_20150317_000094	{@st41}All Chat{/}	{@st41}일반 대화{/}				
UI_20150317_000095	{@59}Thoát{/}	{@59}종료하기{/}				
UI_20150317_000096	{@59}Mời{/}	{@59}초대하기{/}				
UI_20150317_000097	{@st59}Tất Cả{/}	{@st59}전체{/}				
UI_20150317_000098	{@st59}Bình Thường (/s chat){/}	{@st59}일반  (/s 할말){/}				
UI_20150317_000099	{@st59}La hét (/y chat){/}	{@st59}외침  (/y 할말){/}				
UI_20150317_000100	{@st59}Tổ Đội (/p chat){/}	{@st59}파티  (/p 할말){/}				
UI_20150317_000101	{@st59}Tin nhắn Riêng (/w team name chat){/}	{@st59}귓속말   (/w 팀이름 할말){/}				
UI_20150317_000102	{@st59}Điều chỉnh cửa sổ Chat{/}	{@st59}채팅창 크기 조절{/}				
UI_20150317_000103	{@st43}{s22}Chat Biểu Cảm{/}	{@st43}{s22}채팅 매크로{/}				
UI_20150317_000104	{@st43}Biểu Cảm{/}	{@st43}매크로{/}				
UI_20150317_000105	{@st59b}Biểu Cảm {nl} {@st59s} - Cách Sử Dụng: {nl} 1. Kéo icon biểu cảm  vào ô phím tắt ở dưới.{nl} 2. Viết cụm từ mà bạn muốn và lưu. {nl} 3. Sử dụng các phím tắt để đồng thời sử dụng các cụm từ và thực hiện những biểu cảm.{/}	{@st59b}매크로{nl}{@st59s} - 사용 방법 : {nl} 1. 상단의 제스쳐 아이콘을 하단의 제스쳐 슬롯에 등록{nl} 2. 대화문구 작성 후 저장{nl} 3. 해당 단축키를 사용해서 대사와 동시에 제스쳐 동작{/}				
UI_20150317_000106	{@st59}Đóng Biểu Cảm{/}	{@st59}매크로를 닫습니다{/}				
UI_20150317_000107	{@st41b}Lưu {/}	{@st41b}저장{/}				
UI_20150317_000108	{@st59}Lưu Thay Đổi{/}	{@st59}등록한 내용을 저장합니다{/}				
UI_20150317_000109	{@st41b}Hủy {/}	{@st41b}취소{/}				
